iso;stock;region;family_wals;genus_wals;l2
aiw;Omotic;Greater Abyssinia  ;AA;South Omotic;13319
abq;West Caucasian;Greater Mesopotamia;NWC;Northwest Caucasian;2414
abk;North Caucasian;Greater Mesopotamia;NWC;Northwest Caucasian;7041
acv;Palaihninan;Basin and Plains;Hok;Palaihnihan;8
ady;West Caucasian;Greater Mesopotamia;NWC;Northwest Caucasian;19972
aar;Cushitic;Greater Abyssinia  ;AA;Eastern Cushitic;22848
afr;Indo-European;S Africa;IE;Germanic;10300000
agx;Nakh-Daghestanian;Greater Mesopotamia;Nda;Lezgic;567
aka;Kwa;African Savannah  ;NC;Kwa;1000000
alw;Cushitic;Greater Abyssinia  ;AA;Eastern Cushitic;29699
alh;Maran;N Australia;Aus;Maran;4
amh;Semitic ;Greater Abyssinia  ;AA;Semitic;5500000
anu;Nilotic;Greater Abyssinia  ;NS;;2114
cko;Kwa;African Savannah  ;NC;Kwa;18000
any;Kwa;African Savannah  ;NC;Kwa;55000
arb;Semitic ;N Africa;AA;Semitic;246000000
ary;Semitic ;N Africa;AA;Semitic;5000000
arq;Semitic ;N Africa;AA;Semitic;3000000
pga;Semitic ;N Africa;AA;Semitic;44000
arg;Indo-European;Europe;IE ;Romance;30000
aro;Pano-Tacanan;NE South America;Tac;Tacanan;9
arv;Cushitic;Greater Abyssinia  ;AA;Eastern Cushitic;3108
agj;Semitic ;Greater Abyssinia  ;AA;Semitic;3236
asm;Indo-European;Indic;IE;;13100000
ast;Indo-European;Europe;IE;Romance;450000
awa;Indo-European;Indic;IE;;19996
awn;Cushitic;Greater Abyssinia  ;AA;Central Cushitic;64425
azj;Turkic;Greater Mesopotamia;Alt ;Turkic;8000000
aze;Turkic;Greater Mesopotamia;Alt;Turkic;8000000
bal;Indo-European;Indic;IE;Iranian;3200000
bam;Mande;African Savannah  ;NC;Western Mande;10000000
bst;Omotic;Greater Abyssinia  ;AA;North Omotic;8961
bzj;Creole;Belize;Cre;English based;48000
bcq;Omotic;Greater Abyssinia  ;AA;North Omotic;22640
ben;Indo-European;Indic;IE;Indic;87750000
wti;Berta;Greater Abyssinia  ;NS;;16533
bwo;Omotic;Greater Abyssinia  ;AA;North Omotic;2276
bug;Austronesian;Oceania;An;Sulawesi;500000
bul;Indo-European;Europe;IE;Slavic;2067262
bum;Benue-Congo;African Savannah  ;NC;Bantoid;800000
bji;Cushitic;Greater Abyssinia  ;AA;Eastern Cushitic;3045
mya;Sino-Tibetan;Southeast Asia;ST;Burmese-Lolo;15250000
dox;Cushitic;Greater Abyssinia  ;AA;Eastern Cushitic;920
